ID	Synonyms	Definition	Definition in Sorani
ENG20-01940346-v	follow; 	to travel behind, go after, come after	لە کنی کەسێ چوون، بە شوێن کەسێ ڕوێشتن، وە شوێن کەسێ هاتن
ENG20-01941830-v	lead; take; direct; conduct; guide; 	take somebody somewhere	بردنی کەسێ بۆ جێگایەک
ENG20-01942900-v	pursue; follow; 	follow in or as if in pursuit	وە دوا کەوتن 
ENG20-01943890-v	chase; chase after; trail; tail; tag; give chase; dog; go after; track; 	go after with the intent to catch	وە دوا کەوتن بە مەبەستی گرتن
ENG20-01944734-v	chase away; drive out; turn back; drive away; dispel; drive off; run off; 	force to go away; used both with concrete and metaphoric meanings	وە دەر نیان، هەم لە مانا مەجازی و هەم مانا کۆنکریتەکەی
ENG20-01947900-v	arrive; get; come; 	reach a destination; arrive by movement or progress	بە چوون و پێش کەوتن گەیشتن بە جێگای مەبەست
ENG20-01950409-v	depart; take leave; quit; 	go away or leave	بەجێ هێشتن، ڕوێشتن
ENG20-01956293-v	depart; part; start; start out; set forth; set off; set out; take off; 	leave	بە جێ هێشتن
ENG20-01957725-v	exit; go out; get out; leave; 	move out of or depart from	هاتنە دەر لە ، جودا بوون لە
ENG20-01962681-v	reach; make; attain; hit; arrive at; gain; 	reach a destination, either real or abstract	گەیشتنە بەرەو، چ لە واقیع چ لە ئەبستراکت دا
ENG20-01965644-v	congregate; 	come together, usually for a purpose	کۆ بوون بۆ مەبەستێ
ENG20-01967594-v	accompany; 	go or travel along with	لەگەڵ کەسێ گەشت کردن
ENG20-01969656-v	crowd; crowd together; 	to gather together in large numbers	لە ئەژماری زۆر کۆ بوون
ENG20-01970410-v	pour; swarm; stream; teem; pullulate; 	move in large numbers	لە ئەژماری زۆر جووڵانەوە
ENG20-01971038-v	disperse; dissipate; scatter; spread out; 	move away from each other	لە یەک دوور کەوتنەوە
ENG20-01972202-v	separate; part; split; 	go one's own away; move apart	ڕێگای خۆ چوون، جودابوونەوە
ENG20-01973194-v	separate; divide; 	make a division or separation	دابەش کردن و جودا بوونەوە
ENG20-01975059-v	bend; 	change direction	گۆڕینی لا و ڕێگە
ENG20-01976188-v	deflect; bend; turn away; 	turn from a straight course , fixed direction, or line of interest	گۆڕینی ڕیگای ڕاست، لایەنی دیاری کراو یان هێڵی حەز و ئارەزوو
ENG20-01977754-v	bend; flex; 	form a curve	چەماندن 
ENG20-01978907-v	slope; incline; pitch; 	be at an angle	لە گۆشەیەک بوون
ENG20-01980120-v	lean; tilt; tip; slant; angle; 	to incline or bend from a vertical position	لە حاڵەتی ستوونی چەماندنەوە
ENG20-01983632-v	crumble; crumple; tumble; break down; collapse; 	fall apart	تێک چوون
ENG20-01984927-v	circulate; pass around; pass on; distribute; 	cause to be distributed	پەخشەو بوون
ENG20-01986772-v	revolve; go around; rotate; 	turn on or around an axis or a center	لە دەوری ناوەڕاست یان تەوەرەیەک گەڕان
ENG20-01991311-v	pass; overtake; overhaul; 	travel past	تێپەڕین
ENG20-01991747-v	pass; go through; go across; 	go across or through	چوون لە ڕاستای یان لە نێوان
ENG20-01992546-n	carnivore; 	terrestrial or aquatic flesh-eating mammal; terrestrial carnivores have four or five clawed digits on each limb	شیردەری گۆشت خوەری ئاوی یان وشکی، گۆشت خوەری سەر وشکی کە 
ENG20-01993297-v	travel by; pass by; surpass; go past; go by; pass; 	pass by	تێپەڕ بوون
ENG20-01995535-v	approach; near; come on; go up; draw near; draw close; come near; 	move towards	بەرەو  لا چوون
ENG20-01996565-v	unfold; stretch; stretch out; extend; 	extend or stretch out to a greater or the full length	کێش هاوردن یان پتر کردن بۆ ئەندازەیەک زۆرتر یان دوایین ئەندازە
ENG20-01997207-v	travel rapidly; speed; hurry; zip; 	move very fast	زۆر خێرا چوون
ENG20-01998533-v	drive; 	cause someone or something to move by driving	بە ئۆتۆمۆبێل گەیاندن
ENG20-02000010-v	fidget; 	move restlessly	بێ ماندوویی جووڵانەوە
ENG20-02000516-n	canine; canid; 	any of various fissiped mammals with nonretractile claws and typically long muzzles	
ENG20-02000544-v	rush; hotfoot; hasten; hie; speed; race; pelt along; rush along; cannonball along; bucket along; belt along; 	step on it	بە خێرایی تێپەڕین
ENG20-02000618-a	another; different; 	distinctly separate from the first	جودا لە هەوەڵی، ئەوی دی، دیکە
ENG20-02000771-a	another; some other; 	any of various alternatives; some other	لە ئەوانی دی، یەکی دی
ENG20-02001308-v	rush; 	run with the ball, in football	بە تۆپەوە دەرچوون وەک لە تۆپی پێ
ENG20-02001681-v	diffuse; spread; spread out; fan out; 	move outward	پەخشەو بوون
ENG20-02002046-a	other than; 	being distinct from that or those first considered	جگە لە
ENG20-02003043-v	dart; dash; scoot; scud; flash; shoot; 	run or move very quickly or hastily	بە خێرایی و پەلەوە دەرچوون
ENG20-02005196-v	fawn; crawl; creep; cringe; cower; grovel; 	show submission or fear	مل کەچی و ترس پیشان دان
ENG20-02008364-v	run; flow; feed; course; 	move along, of liquids	ڕەوتی تراوەمەنی
ENG20-02010665-v	pour; 	flow in a spurt	ڕژان لە ناکاو
ENG20-02010968-v	pour; 	cause to run	ڕژاندن
ENG20-02012273-v	trickle; dribble; filter; 	run or flow slowly, as in drops or in an unsteady stream	ڕۆێشتن یان وە گەڕ کەوتن لە دڵۆپدا یان لە ڕووەکی بە لارەلار
ENG20-02014248-v	elapse; lapse; pass; slip by; glide by; slip away; go by; slide by; go along; 	pass by	بە لادا چوون
ENG20-02015953-v	escape; get away; break loose; 	run away from confinement	دەر چوون لە زیندان
ENG20-02016325-v	run; scarper; turn tail; lam; run away; hightail it; bunk; head for the hills; take to the woods; escape; fly the coop; break away; 	flee; take to one's heels; cut and run	هەڵاتن، دەرچوون، ڕا کردن
ENG20-02016731-v	flee; fly; take flight; 	run away quickly	بە خێرایی دەرچوون
ENG20-02019189-v	return; take back; bring back; 	bring back to the point of departure	هەڵ گەڕاندن بۆ جێگای ڕوێشتن
ENG20-02023514-v	spread; scatter; spread out; 	strew or distribute over an area	پاشین یان پەخش کردن بە سەر ناوچەیەک دآ
ENG20-02028442-v	swing; 	move in a curve or arc, usually with the intent of hitting	جووڵاندنەوە لە حاڵەتی کەوانەیی زۆرتر بۆ لێ دان
ENG20-02028804-v	draw; 	move or go steadily or gradually	بە پتەوی و وردەوردە چوون
ENG20-02031507-v	slide; 	move smoothly along a surface	چوون بە ڕەوانی لە ئاستی
ENG20-02031927-v	step; tread; 	put down or press the foot, place the foot	دانانی هەنگاو، نیانە خواری هەنگاو
ENG20-02033908-v	beat; flap; 	move with a flapping motion	جووڵانەوە بە شەکاندن
ENG20-02034128-v	beat; flap; 	move with a thrashing motion	جووڵانەوە بە جەڵدە لێ دان
ENG20-02036615-v	turn; 	move around an axis or a center	لە دەوری ناوەڕاست یان تەوەرەیەک گەڕان
ENG20-02038124-v	draw; 	cause to flow	وە جەریان خستن
ENG20-02045668-v	perceive; comprehend; 	to become aware of through the senses	بە هەستەکان ئاگادار بوون
ENG20-02047097-v	experience; receive; have; get; undergo; 	of mental or physical states or experiences	 هی ئەزموونەکان یان بارودۆخی جەستەیی یان دەروونی
ENG20-02049690-v	enjoy; 	have for one's benefit	خۆشی وەرگرتن لە
ENG20-02056737-v	catch; pick up; 	perceive with the senses quickly, suddenly, or momentarily	تێ گەیشتن بە هەستەکان بە خێرایی، لە ناکاو یان ماوەیی
ENG20-02057024-v	dream; 	experience while sleeping	لە خەو دیتن
ENG20-02058566-v	rub; scratch; itch; 	scrape or rub as if to relieve itching	ماڵین و خوراندن بۆ ئاسوودە کردنی خارش
ENG20-02060115-v	hurt; ache; suffer; 	feel physical pain	هەست بە ئێشی جەستەیی
ENG20-02062028-v	prick; sting; twinge; 	cause a stinging pain	وەک ئێشی پێوە دان
ENG20-02062276-v	smell; 	emit an odor	لە خۆ بۆ خستن
ENG20-02062507-v	cause to be perceived; 	have perceptible qualities	چۆنیەتی ئاشکار
ENG20-02062710-v	reek; stink; 	smell badly and offensively	بۆنی خراپە دان
ENG20-02062936-v	smell; 	smell bad	بۆنی ناخۆش دان
ENG20-02063352-v	smell; 	inhale the odor of; perceive by the olfactory sense	بۆ کردن، تێ گەیشین بە هەستی بۆیایی
ENG20-02063827-v	scent; nose; wind; 	catch the scent of; get wind of	بۆنی وەر گرتن، هەوای وەر گرتن
ENG20-02067341-n	wing; 	a movable organ for flying (one of a pair)	ئەندامێک بۆ فڕین (یەک لە جووتێ)
ENG20-02067665-v	see; 	perceive by sight or have the power to perceive by sight	تێ گەیشتن بە دیتن، یان هەبوونی توانای دیتن
ENG20-02068403-n	predator; predatory animal; 	any animal that lives by preying on other animals	هەر گیانەوەرێک کە بە خواردنی گیانەوەرێکی دی ئەژی
ENG20-02068544-n	prey; quarry; 	animal hunted or caught for food	گیانەوەرێک کە بۆ خواردن یان وەرزش ڕاو دەبێ
ENG20-02068654-n	game; 	animal hunted for food or sport	گیانەوەرێک کە بۆ خواردن یان وەرزش ڕاو دەبێ
ENG20-02068725-v	look; 	perceive with attention; direct one's gaze towards	تێگەیشتن بە سەرنج دان،چاو تێ بڕین بۆ لایەنێ
ENG20-02069480-v	examine; see; 	observe, check out, and look over carefully or inspect	تێبینی کردن، کۆنترۆڵ کردن، لێ ڕوانین بە دیقەتەوە یان پشکنین
ENG20-02069611-n	hoof; 	the foot of an ungulate mammal	پێ شیردەرێکی سم دار
ENG20-02070946-v	gaze; stare; 	look at with fixed eyes	لێ ڕوانین بە چاوی مۆڵەقەوە
ENG20-02071466-n	tooth; 	toothlike structure in invertebrates found in the mouth or alimentary canal or on a shell	
ENG20-02071636-v	look; appear; seem; 	give a certain impression or have a certain outward aspect	کارتێکردنێکی تایبەت، یان ڕواڵەتێکی دەرەکی تایبەت هەبوون
ENG20-02073042-n	tail; 	the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body	بەشی دوایینی جەستەی ئێسکەپەیکەرێک بەتایبەت کاتێ لە لەشەوە دێتە دەوەرە و درێژ دەبێتەوە
ENG20-02074022-v	blow; 	make a sound as if blown	فیکە کردن وەک  لە هەوا
ENG20-02074201-n	flag; 	a conspicuously marked or shaped tail	کلکێکی بە ئاشکرا نیشان دار و داڕێژراو
ENG20-02075197-v	show; 	make visible or noticeable	پیشان دان و ڕوون کردن
ENG20-02075325-n	insect; 	small air-breathing arthropod	مۆڤکی بچووکی هەوازی
ENG20-02078062-v	expose; exhibit; display; 	to show, make visible or apparent	پیشان دان، ڕوون یان ئاشکار کردنەوە
ENG20-02079175-v	produce; bring forth; 	bring out for display	هاوردنە دەرێ بۆ پیشان دان
ENG20-02081294-v	uncover; bring out; unveil; reveal; 	make visible	دیار کردن
ENG20-02082751-v	stamp; 	reveal clearly as having a certain character	سیمایەکی تایبەت پێ دان
ENG20-02082942-v	hide; conceal; 	prevent from being seen or discovered	بەرگری کردن لە بەر چاو کەوتن یان ئاشکار بوون
ENG20-02085555-v	bury; 	cover from sight	لە بەر چاو شارنەوە
ENG20-02085692-v	dissemble; cloak; mask; 	hide under a false appearance	شاردنەوە لە ژێر ڕۆخسارێکی درۆیین
ENG20-02086859-v	show; demo; exhibit; present; demonstrate; 	show or demonstrate something to an interested audience	پیشان دان یان وە دەر خستنی شتێک بۆ جەماوەری ئارەزوومەند
ENG20-02089076-a	big; momentous; 	of very great significance	دارای گرنگیەکی زۆر
ENG20-02091359-v	size up; take stock; scrutinize; scrutinise; 	to look at critically or searchingly, or in minute detail	لێ ڕوانینی ڕەخنەگرانە و پشکنانە، یان بە وردەکاری زۆرەوە
ENG20-02092284-v	descry; spot; espy; spy; 	catch sight of	دیتنی دیمەنی
ENG20-02095814-v	obscure; befog; becloud; obnubilate; haze over; fog; cloud; mist; 	make less visible or unclear	ڵێڵ و نادیار کردن
ENG20-02096669-v	disguise; 	make unrecognizable	گۆڕاندن بۆ نەناسراو کردن
ENG20-02098586-v	radiate; 	cause to be seen by emitting light as if in rays	پیشان دان بە ڕووناکی بەخشین وەک تیشک دانەوەوە
ENG20-02100987-a	elemental; ultimate; 	being the ultimate or elemental constituents of anything	بەشی مەزن یان بنەمایی هەر شتێ
ENG20-02101907-v	sight; 	catch sight of; to perceive with the eyes	دیتنی دیمەنی...، تێگەیشتن بە دیتن
ENG20-02102686-v	goggle; gape; gawp; gawk; 	look with amazement; look stupidly	بە سەرسامیەوە لێ ڕوانین، گەمژانە ڕوانین
ENG20-02102849-v	admire; 	look at with admiration	بە بە ستایەشەوە لێ ڕوانین
ENG20-02103315-v	glance; peek; glint; 	throw a glance at; take a brief look at	چاو پێ خستن، لێ ڕوانینی کورت
ENG20-02103554-v	inspect; 	look over carefully	بە وریاییەوە لێ ڕوانین
ENG20-02107444-v	hear; 	perceive (sound) via the auditory sense	تێگەیشتن بە هەستی شنەوایی (دەنگ)
ENG20-02107615-v	listen; 	hear with intention	ژنەفتن بە ئەنقەستەوە
ENG20-02109334-v	squeak; screech; creak; screak; skreak; 	make a high-pitched, screeching noise	قیژە و دەنگ بەرز کردن
ENG20-02110511-v	make noise; resound; noise; 	emit a noise	دەرکردنی دەنگ
ENG20-02112435-v	drum; beat; thrum; 	make a rhythmic sound	دەنگی کێشدار پشکنین
ENG20-02112662-v	rattle; 	make short successive sounds	پشکنینی دەنگانی کورت و پشر سەر یەک
ENG20-02113183-v	tick; ticktock; ticktack; beat; 	make a sound like a clock or a timer	پشکنینی دەنگی وەکوو کاتژمێر
ENG20-02113563-v	resonate; vibrate; 	sound with resonance	پشکنینی دەنگ بە دەنگ دانەوە
ENG20-02113837-v	sound; go; 	make a certain noise or sound	پشکنینی دەنگێکی تایبەت
ENG20-02116268-v	pink; ping; knock; 	sound like a car engine that is firing too early	پشکنینی دەنگی وەکوو مەکینەی ئۆتۆمۆبیل کە زۆر زوو لێ خوڕیاوە
ENG20-02116920-v	sound; 	cause to sound	دەنگی دەرهاوردن
ENG20-02118300-v	ring; peal; 	sound loudly and sonorously	دەنگی هەرا و زرنگدار
ENG20-02120064-v	rustle; 	make a dry crackling sound	دەنگێکی وشکی تەقەتەق کردن
ENG20-02120577-v	honk; blare; beep; claxon; toot; 	make a loud noise	پشکنینی دەنگی بەرز
ENG20-02121142-v	resound; echo; ring; reverberate; 	ring or echo with sound	دەنگ دانەوە و زڕینگنەوەی سەدا
ENG20-02121158-n	hymenopterous insect; hymenopteran; hymenopteron; hymenopter; 	insects having two pairs of membranous wings and an ovipositor specialized for stinging or piercing	مێرووانێک کە جووتێ باڵی پەردەییان هەیە و هێلکەکەرێک کە بۆ پێوە دان و کۆن کردنیش بە کار دێ
ENG20-02121744-n	bee; 	any of numerous hairy-bodied insects including social and solitary species	هەر جۆرە مێروویەکی موودار چ کۆمەڵی بژی چ بە تاق
ENG20-02122337-n	worker; 	sterile member of a colony of social insects that forages for food and cares for the larvae	ئەندامی نەزۆکی کۆمەڵی مێرووەکان کە بۆ وە دەست هێنانی خوراک و چاودێری کرمکەکان ئیش دەکا
ENG20-02122535-n	soldier; 	a wingless sterile ant or termite having a large head and powerful jaws adapted for defending the colony	مێروولەیەکی نەزۆکی بێ باڵ یان مێروولە سپیەکی سەر گەورە و شەویلکی بە هێز بۆ بەرگری کردن لە کۆلۆنی
ENG20-02122674-v	tap; rap; knock; pink; 	make light, repeated taps on a surface	لێدانێکی هێواش و سۆک لە سەر ئاستێک
ENG20-02123162-v	chatter; click; 	click repeatedly or uncontrollably	کرتە کردنێکی پشت سەر یەک و بێ کۆنترۆڵ
ENG20-02123807-v	tinkle; tink; clink; chink; 	make or emit a high sound	سەدایەکی بەرز کردن
ENG20-02125223-v	ripple; babble; guggle; burble; bubble; gurgle; 	flow in an irregular current with a bubbling noise	جەریان پەیدا کردن بە دەنگێکی ناکۆکی بڵقە بڵق
ENG20-02125888-v	whizz; whiz; whirr; whir; birr; purr; 	make a soft swishing sound	سەدایەکی نەرمی خشەخش
ENG20-02126469-v	catch; take in; overhear; 	hear, usually without the knowledge of the speakers	ژنەفتن، بە بێ زانستی گوتەرەکان
ENG20-02136207-v	give; 	transfer possession of something concrete or abstract to somebody	گواستنەوەی مولکێکی کۆنکریت یان ئەبستراکت بۆ کەسێ
ENG20-02137285-v	give; gift; present; 	give as a present; make a gift of	خەڵات کردن، دیاری کردن لە
ENG20-02138940-v	keep; hold on; 	retain possession of	پاراستنی مولکیەتی
ENG20-02139918-v	have; have got; hold; 	have or possess, either in a concrete or an abstract sense	دارا بوون، مالیک بوون هەم لە مانا کۆنکریت و هەم ئەبستراکتەکەی دا
ENG20-02141223-v	own; have; possess; 	have ownership or possession of	خاوەنیتی یان خاوەنداری
ENG20-02143689-v	buy; purchase; 	obtain by purchase; acquire by means of a financial transaction	وە دەست هێنان بە کڕین، وە دەست خستن بە مامەڵەی دارایی
ENG20-02145020-v	lease; rent; hire; charter; engage; take; 	engage for service under a term of contract	بە خزمەت گرتن لە ژێر بەستنی بەڵێن
ENG20-02146575-v	receive; have; 	get something; come into possession of	وە دەست هێنان، خاوەن داری بوون
ENG20-02146934-v	accept; 	of a deliberative body: receive (a report) officially, as from a committee	هی جەستەیەکی بڕیاردار، وەرگرتن (ڕاپۆرت) فەرمی، وەک لە کومیتەیەک
ENG20-02147191-v	get; acquire; 	come into the possession of something concrete or abstract	خاوەن داری شتێکی کۆنکریت یان ئەبستراکت بوون
ENG20-02149107-v	deny; refuse; 	refuse to let have	ڕەت کردنەوە، ڕێگە پێ نەدان
ENG20-02149972-v	withhold; keep back; 	hold back; refuse to hand over or share	ڕێگە نەدان، نەگەیاندن و دابەش نەکردن
ENG20-02151284-v	withhold; deduct; recoup; 	retain and refrain from disbursing; of payments	نەدان و بڵاو نەکردنی مووچە
ENG20-02155507-v	support; 	support materially or financially	لە بواری دارایی و کەل و پەلەوە پشتیوانی کردن
ENG20-02156874-v	transfer; 	cause to change ownership	گۆرانی خاوەنێتی
ENG20-02158552-v	discard; fling; toss; toss out; toss away; chuck out; cast aside; dispose; throw out; cast out; throw away; cast away; put away; 	throw or cast away	فڕێ دان یان تووڕ کردن
ENG20-02160141-v	get rid of; remove; 	dispose of	خۆ ڕزگار کردن لە
ENG20-02161122-v	save; preserve; 	to keep up and reserve for personal or special use	نگا هێشتن و هەڵگرتن بۆ بەهرەی تاکیی یان تایبەت
ENG20-02163637-v	abandon; 	forsake, leave behind	لە یاد کردن، بە جێ هێشتن
ENG20-02164287-v	assign; allot; portion; 	give out or allot	تەڕخان کردن، بەش کردن
ENG20-02164652-v	bequeath; will; leave; 	leave or give by will after one's death	بە جێ هێشتن یان پێدان بە خواست لە دوای مەرگ
ENG20-02166354-v	pass; hand; reach; pass on; turn over; give; 	place into the hands or custody of	بە دەستی کەسێ دی دان، یان بە چاودێری کەسێ دی دان
ENG20-02167764-v	transfer; 	move from one place to another	چوون لە شوێنێکەوە بۆ شوێنێ دی
ENG20-02169266-v	allocate; apportion; 	distribute according to a plan or set apart for a special purpose	بڵاو کردنەوە بە ڕووی پلان یان وە لا نیان بۆ مەبەستێکی تایبەت
ENG20-02170372-v	surrender; cede; deliver; give up; 	relinquish possession or control over	خاوەنێتی یان کۆنترۆڵی وێڵ کردن
ENG20-02171267-v	accept; take; have; 	receive willingly something given or offered	وەرگرتنی شتێکی پێشکەش کراو یان بەخشراو بە خواستەوە
ENG20-02171767-v	accept; admit; take; take on; 	admit into a group or community	قبووڵ کردن لە جەمی کۆمەڵێک دا
ENG20-02172925-v	put up; contribute; 	provide	فەراهەم ڕدن
ENG20-02173228-v	obtain; 	come into possession of	بوونە خاوەنی
ENG20-02175275-v	engage; enlist; 	as of aid, help, services, or support	وەک ئەوەی یارمەتی، خزمەت یان پشتیوانی
ENG20-02175411-v	recruit; 	seek to employ	بەکار گوماردن
ENG20-02177556-v	sell; 	exchange or deliver for money or its equivalent	گۆڕان بە پارە یان کەل و پەلی یەکسان
ENG20-02180875-v	transact; 	conduct business	بازرگانی کردن
ENG20-02182494-v	fetch; bring in; bring; 	be sold for a certain price	بە نرخێکی دیاری کراو فرۆتن
ENG20-02183081-v	recover; retrieve; find; regain; 	get or find back; recover the use of	دۆزینەوە یان پەیداکردنەوە، وە لار هێنانەوە
ENG20-02183569-v	find; happen; chance; bump; encounter; 	come upon, as if by accident; meet with	پێ گەیشتن بە ڕێکەوت، دیدار کردن
ENG20-02183912-v	access; 	obtain or retrieve from a storage device; as of information on a computer	وە دەست خستن یان گرتن لە ئامێرێکی پاشکەوت وەک زانیاری لە سەر کۆمپیوتەر
ENG20-02184251-v	log in; log on; log-in; 	enter a computer	چوونە ناو کۆمپیوتەر
ENG20-02185693-v	compensate; recompense; repair; indemnify; 	make amends for; pay compensation for	هەموار کردن، قەرەبوو کردن
ENG20-02186811-v	pay; 	give money, usually in exchange for goods or services	پارە پێدان، لە جیاتی کەل و پەل یان خزمەتکاری
ENG20-02187999-v	pay up; ante up; pay; 	cancel or discharge a debt	دانەوەی قەردەکان
ENG20-02189024-v	owe; 	be in debt	قەرزاری کەسێ بوون
ENG20-02189291-v	settle; 	dispose of; make a financial settlement	ڕزگار بوون لە دەست، پارە تەڕخان کردن
ENG20-02190495-v	allow; grant; 	let have	ئیزن پێ دان
ENG20-02191142-v	prize; value; treasure; appreciate; 	hold dear	نرز پێ دان، بەها پێدان
ENG20-02192193-v	exchange; change; interchange; 	give to, and receive from, one another	پێ دان، و وەرگرتن لە یەکتر
ENG20-02192590-v	substitute; replace; 	put in the place of another; switch seemingly equivalent items	جێنشین کردن بە مادەیەکی یەکسان یاک لێکچوو
ENG20-02193712-v	trade; swap; swop; switch; 	exchange or give (something) in exchange for	گوڕانەوە یان پێدان لە جیاتی ...
ENG20-02195069-v	trade; merchandise; 	engage in the trade of	ئیش کردن لە پیشەی
ENG20-02196595-v	award; present; 	give, especially as a reward	پێدان بە تایبەت وەک خەڵات
ENG20-02196975-v	award; grant; 	give on the basis of merit	پێدان لە سەر بناگەی چاکی
ENG20-02199564-v	balance; 	compute credits and debits of an account	ئەژماردنی بەها و گرنگی و قەرزەکانی حیسابێ
ENG20-02199815-v	account; calculate; 	keep an account of	حیساب نگا هێشتن
ENG20-02200310-v	trust; 	extend credit to	دڵنیایی کردن بە
ENG20-02200679-v	blow; 	spend lavishly or wastefully on	بە دەست بڵاویەوە خەرج کردن، بە فێڕۆ دانی پارە
ENG20-02201591-v	spend; expend; drop; 	pay out	خەرج کردنی پارە
ENG20-02205189-v	beg; 	ask to obtain free	گەدایی کردن
ENG20-02205511-v	invest; put; commit; place; 	make an investment	پارە لە بانک تەرخان کردن
ENG20-02209388-v	claim; lay claim; arrogate; 	demand as being one's due or property; assert one's right or title to	بانگاشە کردن وەکوو مولکی خۆ، بانگاشەی ماف و خاوەنێتی خۆ
ENG20-02217329-v	retain; hold; keep back; hold back; 	secure and keep for possible future use or application	قایم کردن و هەڵگرتن بۆ کەڵک یان بە کار هێنانی داهاتوو
ENG20-02218101-v	bribe; corrupt; buy; grease one's palms; 	make illegal payments to in exchange for favors or influence	بەرتیل دان، پارەی نایاسایی دان لە جیاتی چاکە یان کاریگەری کردن
ENG20-02218920-v	refund; return; repay; give back; 	pay back	دانەوەی پارە
ENG20-02219598-v	find; regain; 	come upon after searching; find the location of something that was missed or lost	بە  گەڕان دۆزینەوە، پەیدا کردنی جێگەی شتێک کە لە دەست چوو بوو یان ون بوو
ENG20-02221178-v	foot; pick; 	pay for something	پارە دان بۆ شتێک
ENG20-02221587-v	lose; 	miss from one's possessions; lose sight of	ون کردن، لە دەست دان
ENG20-02221758-v	lose; 	fail to keep or to maintain; cease to have, either physically or in an abstract sense	نەتوانین لە نگا هێشتن و چاودێری کردن، لە دەست دان چ مادی چ ئەبستراکت
ENG20-02222264-v	acquire; win; gain; 	win something through one's efforts	برنەوەی شتێک بە تێکۆشان
ENG20-02222797-v	lose; turn a loss; 	fail to make money in a business; make a loss or fail to profit	وە دەست نەهێنانی پارە لە ئیشێک دا، لە دەست دانی پارە، سوود نەکردن
ENG20-02223264-v	gain; take in; clear; make; earn; realize; realise; pull in; bring in; 	earn on some commercial or business transaction; earn as salary or wages	وە دەست هێنان لە مامەڵەیەکی بازرگانی یان کاری، وە دەست هێنان وەک مووچە یان دەستمایە
ENG20-02223854-n	caterpillar; 	a wormlike and often brightly colored and hairy or spiny larva of a butterfly or moth	کرمکێکی وەکوو کرم و پتر ڕەنگی ڕۆشن و پڕمووی پەپوولە یان مۆرانە
ENG20-02224165-v	earn; garner; 	acquire or deserve by one's efforts or actions	وە دەست خستن یان شیاو بوون بە هۆی تێکۆشان و کارەوە
ENG20-02224430-v	profit; gain; benefit; 	derive a benefit from	سوود وەرگرتن لە
ENG20-02225577-n	larva; 	the immature free-living form of most invertebrates and amphibians and fish which at hatching from the egg is fundamentally unlike its parent and must metamorphose	فورمی ناباڵقی بێ ئێسکەپەیکەر و دوو ژیانەکان و ماسیەکان کە بێچووەکانیان لە هێلکەوە هیچی لە دایک و بابیان ناچن و دوایی دەگۆڕن
ENG20-02226487-n	grub; 	a soft thick wormlike larva of certain beetles and other insects	کرمکی ئەستووری نەرمی قاڵووچە یان مێرووانی دی
ENG20-02227272-v	hand over; fork over; fork out; fork up; turn in; get in; deliver; render; 	to surrender someone or something to another	کەسێ یان شتێ ڕادەستی یەکێ دی کردن
ENG20-02227435-n	queen; 	the only fertile female in a colony of social insects such as bees and ants and termites; its function is to lay eggs	تەنها مێ زایندەی کۆلۆنی کۆمەڵایەتی مێرووەکان وەکوو هەن و مێروولە و مێروولە سپی کە ئیشی هێلکە کردنە
ENG20-02228378-v	distribute; administer; mete out; deal; parcel out; lot; dispense; shell out; deal out; dish out; allot; dole out; 	administer or bestow, as in small portions	پێدان یان بەش دان لە بڕی کەم دا
ENG20-02229113-v	partake; share; partake in; 	have, give, or receive a share of	دابەش کردن
ENG20-02229455-v	share; 	use jointly or in common	بە یەکەوە کەڵک لێ گرتن
ENG20-02230964-v	offer; proffer; 	present for acceptance or rejection	پێشنیار دان
ENG20-02231121-n	echinoderm; 	marine invertebrates with tube feet and calcite-covered five-part radially symmetrical bodies	بێ ئێسکەپەیکەری دەریایی بە پێ لوولەیی و جەستەی پێنج بەشە و هاوڕاستا
ENG20-02233507-n	sea urchin; 	shallow-water echinoderms having soft bodies enclosed in thin spiny globular shells	هەر جۆرە بێ ئێسکەپەیکەری ئاوی بەرتەسک بە جەستەی نەرم لە سەدەفی بازنەیی و ناسک دا
ENG20-02233657-v	bid; call; 	make a demand, as for a card or a suit or a show of hands	پێداویستی کارت یان سویت یان پیشان دانی دەس
ENG20-02235041-v	disburse; pay out; 	pay out	خەرج کردن
ENG20-02235744-v	bear; hold; 	have rightfully; of rights, titles, and offices	بە مافی خۆ هەبوون، هی ماف، ناوبانگ و ئیدارە
ENG20-02236594-v	forfeit; give up; throw overboard; waive; forgo; 	lose or lose the right to by some error, offense, or crime	لە دەست دان یان لە دەست دانی ماف بە بۆنەی هەڵەیەکەوە یان تاوان یان جورمەوە
ENG20-02236622-n	foot; invertebrate foot; 	any of various organs of locomotion or attachment in invertebrates	هەر کام لە جۆرەکانی ئەندامی بەند کراوی بێ ئیسکەپەیکەرەکان
ENG20-02239588-v	levy; impose; 	impose and collect	سەپاندن و باج کۆ کردنەوە
ENG20-02241832-v	contribute; give; chip in; kick in; 	contribute to some cause	بەشداری کردن لە گەیشتن بە ئامانجێک
ENG20-02243671-n	rodent; gnawer; gnawing animal; 	relatively small gnawing animals having a single pair of constantly growing incisor teeth specialized for gnawing	گیانەوەرانی کرتێنەری کە تاقێ ددانی پێشینی هەر لە گەورە بوونیان هەیە کە بۆ جاوین بە کار دێ
ENG20-02243919-v	deposit; bank; 	put into a bank account	لە حیسابی بانکی نیان
