زۆر	abundance	abundant	ample	copious	deal	duress	extra	greatly	jolly	lot	many	much	multi	numerous	plentiful	richly	so	too	vast	very
لێگەڕان	hunt	look	seek																	
دەستەبەری	guarantee	insurance	security																	
سووتاندن	bake	burn	scorch																	
نەخشە	map	plan	scheme																	
تێرکردن	fill	gratification	satisfy																	
دروستی	accuracy	justness	sanitation																	
بازاڕ	bazaar	market	sale																	
هێمنی	calmness	peace	safety																	
پارێزراو	guarded	preserve	safe																	
ڕێسا	convention	principle	rule																	
پێڕست	directory	menu	roll																	
کێبڕکێ	chase	compete	rivalry																	
دواخستن	delay	postpone	retard																	
وەڵام	answer	reply	respond																	
کاردانەوە	react	reacting	respond																	
دوابڕیار	decisive	definitive	resolution																	
بەرگریکەر	defender	defensive	resistant																	
پاشماوه	net	residual	residue																	
یەدەگ	extra	precaution	reserve																	
داوا	call	demand	request																	
تکاکردن	ask	beg	request																	
دووپاتکردنەوە	affirm	reaffirms	repeat																	
بیرکەوتنەوە	recall	recollect	remember																	
وەبیرهێنانەوە	commemorate	prompt	remember																	
لاشە	corpse	necropsy	remains																	
دڵدانەوە	consolation	console	relieve																	
حەسانەوە	leisure	lie	relaxations																	
ڕەچاوکردن	consider	heed	regard																	
سپاردن	commend	deposit	refer																	
قەرەبووکردنەوە	cover	recompense	redeem																	
دیتنەوە	detection	find	recover																	
پێشنیازکردن	propose	recommend	recommendation																	
ناسینەوە	identify	recognition	recognize																	
خەتەر	danger	peril	reckless																	
خوێندنەوە	pronounce	read	reading																	
بەزم	fuss	party	rash																	
وەدووکەوتن	chase	follow	pursue																	
گۆڤار	magazine	periodical	publication																	
ورووژاندن	alter	incite	provocation																	
خۆراک	food	nutrition	provision																	
پارێزگاری	maintenance	protect	protection																	
ڕێژە	average	parade	proportion																	
گەوشین	feature	features	property																	
کەڵک	benefit	gain	profit																	
لێکۆڵینەوە	examine	investigation	probe																	
بنەما	fabric	principal	principle																	
پێشاندان	exhibit	expose	present																	
توانست	capability	competence	possibility																	
بەڕێز	dear	polite	politeness																	
دۆز	cause	dose	policy																	
ئاماژەکردن	beckon	notation	point																	
ڕادە	extend	level	pitch																	
فیلم	film	movie	picture																	
نیگار	illustrate	image	picture																	
نەگۆڕ	constant	immovable	pertain																	
مردن	demise	die	perish																	
پیت	fertility	letter	peat																	
ڕوانگە	attitude	lookout	opinion																	
داگیرکاری	colonial	colonialism	occupation																	
ناوکە	core	kernel	nut																	
دایە	mother	mum	mummy																	
پاروو	bite	morsel	mouthful																	
بەستن	closing	ice	mount																	
جووڵان	activity	kinetic	motion																	
کوشندە	deadly	fatal	mortal																	
ئاکار	ethic	moral	morale																	
دراو	cash	currency	money																	
گەڵاڵە	bill	list	model																	
لەدەستدان	deprivation	forfeit	miss																	
خاپاندن	deceive	delusion	mislead																	
توانین	can	manage	may																	
قەراخ	edge	edging	margin																	
بنیاتنەر	creator	establisher	maker																	
پێکهێنەر	component	creator	maker																	
شتومەک	furniture	goods	luggage																	
شانس	chance	fortune	luck																	
چارەنووس	destiny	fate	lot																	
دۆڕاندن	defeat	fail	lose																	
بیچم	feature	features	look																	
سیما	feature	features	look																	
قەڵافەت	feature	features	look																	
شلەمەنی	drink	fluid	liquid																	
بەرزکەرەوە	crane	cranes	lift																	
بەرزی	height	length	level																	
بواردان	allow	grant	let																	
قاچ	bone	foot	leg																	
زانین	guess	know	learn																	
کەلێن	bug	gap	lacuna																	
ناسراو	famed	familiar	known																	
بڕیاردان	decide	intend	judgement																	
هاوبەش	common	communal	joint																	
ناساندن	describe	identify	introduce																	
کارلێکردن	influence	interactions	interactive																	
نیشتەجێبوون	housing	housings	inhabit																	
ژێرەوە	bottom	following	inferior																	
گوێنەدەر	dismissive	feckless	indifference																	
توان	effect	exponent	index																	
زۆربوون	breed	growth	increase																	
داهات	crops	income	incomes																	
لاوەکی	extraneous	implicit	incident																	
ناوەڕۆک	body	guts	imprecise																	
نەزانی	folly	ignorance	ignorantness																	
ڕاوکردن	catch	chase	hunt																	
خانوو	accommodation	building	home																	
کون	burrow	gap	hole																	
قەرەبوو	compensation	fine	hire																	
سەرنج	attention	comment	heed																	
شانە	cell	context	hairbrush																	
ئاوەڕۆ	channel	drain	gutter																	
خۆڕایی	free	gratis	gratuitous																	
دانپێنان	acknowledge	confession	grant																	
دووربین	farseeing	farsightedness	glass																	
گاز	bite	fume	gas																	
سازکردن	adapt	equip	furnish																	
پێکهێنان	composition	fashioning	form																	
گوێڕایەڵی	compliance	deference	follow																	
سەرئاوکەوتوو	afloat	buoyant	float																	
هەڵاتن	desert	escape	flee																	
کێماسی	defect	disadvantage	flaw																	
چەسپاو	constant	fast	fixed																	
پەیداکردن	earn	find	finding																	
جەژن	ceremony	festival	festivity																	
خەرج	charge	duty	fee																	
جیاکاری	discrimination	exception	favoritism																	
شکست	disaster	fail	failure																	
چەمک	concept	conception	expression																	
سەرگەرم	busy	entertain	entertains																	
پەرەپێدان	develop	development	enlarge																	
پەخشکردن	broadcast	diffusion	distribution																	
دووری	coordinates	dimension	distance																	
پەردە	cloak	curtain	display																	
وازلێهێنان	abandoning	desert	dismissing																	
گفتوگۆ	conversation	discuss	discussion																	
باسکردن	define	describe	discourse																	
ململانێ	compete	conflict	discord																	
خاپورکردن	demolition	desolation	destruction																	
دۆڵاب	board	cabinet	cupboard																	
بێبەزەیی	brutal	brute	cruel																	
چەماوە	bent	crook	crooked																	
ئەنجومەن	board	congress	council																	
هەرەوەزی	collective	communal	cooperate																	
دڵنیایی	assuredness	certainty	confidence																	
پێکدادان	battle	clash	collide																	
توانایی	authority	capability	capacity																	
پشت	back	behind	behinds																	
لەپشت	abaft	after	behind																	
دەستکەوت	achieve	achievement	attainable																	
زنجیر	train	zipper																		
دوند	summit	zenith																		
تازەترین	last	youngest																		
دەزوولە	thread	yarn																		
چیڕۆک	tale	yarn																		
ژاکاوی	wrinkle	wrinkly																		
کرژی	spasm	wrinkle																		
چەپکەگوڵ	blossom	wreath																		
پێچەرەوە	packager	wrapper																		
دەبێ	will	would																		
گرنگی	importance	worth																		
جیهان	universe	world																		
تەختە	panel	wood																		
شەڕاب	drink	wine																		
مەی	drink	wine																		
بادە	booze	wine																		
بەلاش	free	windfall																		
سەردەکەوێت	defeats	win																		
سروشت	temperament	wild																		
هاوسەر	spouse	wife																		
بەدڕەوشت	discourteous	wicked																		
سەراپا	complete	wholly																		
ئاسایش	security	welfare																		
سەنگ	pound	weight																		
لەچاوکردن	wear	wearing																		
شەپۆل	swell	wave																		
دۆڕان	defeat	waterloo																		
تەماشاکردن	lookup	watch																		
زبڵ	garbage	waste																		
پاشەڕۆ	feces	waste																		
شوشتن	wash	washing																		
بیانو	pretext	warrant																		
شەڕ	clash	war																		
بەخەبەر	awake	wakeful																		
مووچە	pay	wage																		
لباد	felt	wad																		
کاربەند	business	vocation																		
ئیلهام	revelation	vision																		
گریمانە	consideration	virtual																		
سەرپێچی	infringement	violation																		
تاب	tab	vigor																		
بینەر	discerning	viewer																		
بینین	see	view																		
دراوسێیەتی	neighborhood	vicinity																		
قاپ	dish	vessel																		
دەفر	container	vessel																		
هەڵبەست	poem	verse																		
تاوتوێکردن	inspect	verify																		
پانکە	fan	ventilator																		
دەمار	nerve	vein																		
گوردوهۆگر	mood	vein																		
لۆر	mood	vein																		
گالیسکە	coach	vehicle																		
گیاخۆر	vegetarian	veggie																		
سەوزە	green	vegetable																		
جۆراوجۆری	diversity	variety																		
فەوتان	perish	vanishes																		
بزربوون	disappear	vanish																		
گەلی	col	valley																		
بۆشایی	gap	vacuum																		
شپڕژەکردن	disrupt	upset																		
باشترکردن	enrich	upgrade																		
ڕاڕا	uncertainty	unsettled																		
فامین	comprehend	understand																		
زام	hurt	ulcer																		
دوو	pair	two																		
سووڕ	cycle	turn																		
هەوڵ	measure	try																		
سەرپەرشتی	control	trusteeship																		
ورگ	belly	tripe																		
سەفەر	travel	trip																		
نیسکێک	little	trifle																		
هۆز	caste	tribe																		
درەخت	arbor	tree																		
چارەسەرکردن	solve	treat																		
غەیانی	betray	treason																		
پێوان	measurement	travel																		
ڤەگۆهاستن	transport	transportation																		
کۆچ	departure	transmigration																		
مامەڵە	deal	transaction																		
هەڤۆتن	teach	train																		
ریز	array	train																		
گەمە	play	toy																		
ژوور	room	top																		
پۆپە	pitch	top																		
چەرمەسەری	hardship	toil																		
ڕیشاڵ	fabric	tissues																		
تەکووز	neat	tidy																		
ئاپۆرا	horde	throng																		
هەڕەشە	menace	threat																		
ئاماڵ	quota	tendency																		
میانەڕەو	moderate	temperate																		
نەریت	custom	temper																		
حاڵ	attitude	temper																		
فرمێسک	tear	tears																		
شاند	deputation	team																		
زەکات	alms	tax																		
گۆڵ	goal	target																		
قسەکردن	speak	talk																		
تاووتوێ	argument	talk																		
خواردن	eat	take																		
هاوسۆزی	empathy	sympathy																		
نیشانه	mark	symbol																		
مەلەکردن	swim	swimming																		
باکردن	swell	swelling																		
پەنەمان	inflate	swell																		
ماسین	inflate	swell																		
لەرینەوە	shake	sway																		
هەڵلوشین	devour	swallow																		
حەپەسان	puzzle	surprise																		
باشتربوون	excel	surpass																		
بان	apr	surface																		
گریمان	assumption	suppose																		
بەز	fat	suet																		
جێگرەوە	alternative	substitute																		
نیشتن	gravitate	subside																		
پڕکردن	filling	stuff																		
قوتابی	pupil	student																		
خوێندکار	learner	student																		
پێکهاته	compound	structure																		
هەوڵدان	attempt	strive																		
پێداگری	persist	strictness																		
قایمی	fastness	strictness																		
هەراوکردن	explain	stretch																		
چەم	river	stream																		
ڕاوەستان	stand	stop																		
گەستن	bite	sting																		
چەسپێنراو	fixed	sticky																		
کۆتەڵ	figure	statue																		
قسە	speech	statement																		
پارێزگا	province	state																		
وڵات	country	state																		
پایە	grade	standing																		
دەوام	durability	standing																		
جێگیرکراو	fixed	stabilized																		
چوارینه	quatrain	square																		
کانی	pool	spring																		
بەرینکردن	enlarge	spread																		
مێرد	husband	spouse																		
رۆح	soul	spirit																		
گیان	soul	spirit																		
نەفس	psyche	spirit																		
گرۆڤەر	ionosphere	sphere																		
دەکارهێنان	handle	spend																		
دەکارکردن	employ	spend																		
بەکاربردن	consumption	spend																		
ئاوارتە	exception	special																		
سپێر	precaution	spare																		
ژێدەر	reference	source																		
خۆڵ	dirt	soil																		
گەمەپێکردن	ridicule	sneer																		
ساف	clear	smooth																		
تێکشکاندن	destroy	smash																		
پاککردن	peel	skin																		
چاوپیاخشاندن	scan	skim																		
ئەندازە	measurement	size																		
ڕەمز	code	signs																		
کوژاندنەوە	extinction	shut																		
فلین	shrink	shrinkage																		
زیقاندن	shout	shrill																		
قیژاندن	shout	shrill																		
تەقەکردن	fire	shoot																		
داڵدەدان	cover	shelter																		
پەتۆ	blanket	sheet																		
پشک	quota	share																		
هەژاندن	incite	shake																		
ئەستەم	difficult	severe																		
گرینگ	chief	serious																		
جیاجیا	separate	separately																		
حوکم	order	sentence																		
فرۆشتن	sale	sell																		
خود	own	self																		
جودایی	disagreement	segregation																		
نیشتەمەنی	deposit	sediment																		
کەرت	section	sector																		
ڕاز	mystery	secret																		
کێشان	pull	scroll																		
بۆڵاندن	lecture	scold																		
خوتەکردن	lecture	scold																		
تۆزێ	little	scant																		
وشیاری	awareness	sagacity																		
خواربوونەوە	lean	sag																		
ڕاڕەو	lane	route																		
لیست	list	roll																		
جادە	avenue	road																		
ئەڵقە	link	ring																		
ماف	quota	right																		
ناجێگیر	fluid	restless																		
وەڵامدانەوە	answer	respond																		
بەربەرەکانی	fight	resist																		
خۆڕاگری	durability	resist																		
بەرەنگاری	dare	resist																		
دابینکردن	prepare	reserve																		
ئابڕوو	honor	reputation																		
دەرپەڕاندن	eject	repulsion																		
وەشاندن	inject	release																		
بەردان	discharge	release																		
ڕێژەیی	comparative	relative																		
گێڕانەوە	quote	relate																		
بژاردن	compensation	reimburse																		
دەڤەر	district	region																		
ناوچه	district	region																		
ئاوڕلێدانەوە	favor	regard																		
نەویستراو	objectionable	refuse																		
تیشکدانەوە	flash	reflectivity																		
داشکان	diminish	reduce																		
هەموارکردن	moderate	reconsider																		
سەرکێشی	rage	rebel																		
رێژە	level	ratio																		
تێکڕا	altogether	rate																		
مشک	mouse	rat																		
هەڵهێنان	lift	raise																		
زیادکردن	increase	raise																		
ڕابوون	awakes	rage																		
لێهاتن	become	qualify																		
گوشار	pressure	push																		
داگرتن	download	push																		
فێرخواز	disciple	pupil																		
هەواتێکردن	inflate	pump																		
بڵاوکراوە	post	publication																		
بریکارنامه	authorization	proxy																		
ئامادەکاری	preparation	provision																		
پێدان	pass	provision																		
ئاگالێبوون	control	protect																		
داکەوتن	fall	prostration																		
خۆشی	pleasure	prosperity																		
خوازبێنی	engagement	propose																		
پێوەندی	communicate	proportion																		
بەڵگە	clue	proof																		
والێکردن	bring	prompt																		
سەربەرزی	honor	pride																		
ودم	honor	pride																		
پلەوپایە	post	prestige																		
گوشین	crush	press																		
ئێستا	now	present																		
دیاری	gift	present																		
وورد	minute	precise																		
رێک	even	precise																		
پیاهەڵاگوتن	commend	praise																		
هەڵدانەوە	commend	praise																		
ئاوزان	effect	power																		
دەسەڵات	authority	power																		
تۆز	dust	powder																		
دەستکورتی	impotence	poverty																		
دەرفەت	occasion	possibility																		
مەلەوانگە	pool	pools																		
بەرانبەر	equal	polar																		
خاڵ	bullet	point																		
شێعر	poem	poetry																		
پێوەکردن	extension	plug-in																		
حەزلێبوون	interest	please																		
ڕابواردن	fun	play																		
هێلکاری	graph	plan																		
دەشت	field	plain																		
ڕاشکاو	explicit	plain																		
ترۆپک	climax	pitch																		
وێنەکێشانەوە	depict	picture																		
هەڵگرتنەوە	adopt	pick																		
قایلکردن	gratification	persuade																		
هێڵان	let	permit																		
ڕێپێدان	authorization	permit																		
هەمیشەیی	immortal	permanent																		
لەناوچوون	collapse	perish																		
سەردەم	day	period																		
ریسک	jeopardy	peril																		
جێبەجێکردن	execute	perform																		
چوونەناو	access	penetrate																		
کەمت	climax	peak																		
ڕێڕەو	flow	path																		
تێپەڕین	cross	pass																		
لێخۆشبوون	forgive	pardon																		
بڕگە	item	paragraph																		
تەلار	hall	palace																		
وێنەکێشان	paint	painting																		
نیگارکێشان	draw	paint																		
بۆیە	consequently	paint																		
ئێش	ache	pain																		
دەرئەنجام	conclusion	outcome																		
بنچینە	ground	origin																		
سازی	organisation	organization																		
دووزەنه	discipline	order																		
بڕیار	decision	order																		
بڕوا	faith	opinion																		
خستنەکار	launch	operate																		
خستنەگەڕ	launch	operate																		
ڕۆن	grease	oil																		
فەرمانبەر	employee	officer																		
بیرۆ	eczema	office																		
دیوان	council	office																		
ڕەنجاندن	annoy	offend																		
خافڵاندن	amuse	occupy																		
تەن	body	object																		
نەفرین	disgust	oath																		
بەخێوکردن	keep	nourish																		
دراوسێ	neighbor	neighbour																		
دانوستان	discuss	negotiation																		
پەڵه	cloud	nebula																		
لەنزیک	around	near																		
گەل	nation	nationality																		
داستان	fiction	narrative																		
سڕکەر	drug	narcotic																		
واتا	meaning	namely																		
ئەفسانه	fable	myth																		
پڕپیاکردن	grasp	mugger																		
هەڕگ	clay	mud																		
جووڵە	move	movement																		
جووڵاندن	gestures	move																		
گریان	cry	mourn																		
چیا	mount	mountain																		
شاخ	horn	mountain																		
چوونەبان	climb	mount																		
وەسەرکەوتن	climb	mount																		
موتۆر	engine	motor																		
مەعنەوی	abstract	moral																		
زەلکاو	fen	moor																		
دراڤ	cash	money																		
تەمومژ	fog	mist																		
بیرکردن	miss	missed																		
بەهەڵەبردن	deceive	mislead																		
خڵەفاندن	deceive	mislead																		
خەڵەتاندن	deceive	mislead																		
کڵاوسەرنیان	deceive	mislead																		
لاباندن	deceive	mislead																		
لاسدان	deceive	mislead																		
هەڵفریواندن	deceive	mislead																		
هزر	idea	mind																		
ڕێگە	lane	method																		
تەنانەت	even	mere																		
دلۆڤان	brave	mercy																		
چاوپێکەوتن	interview	meet																		
ژەم	course	meal																		
مەسەلە	affair	matter																		
ژنومێردی	marriage	matrimony																		
هێمان	invoice	material																		
لێهاتووی	efficiency	mastery																		
نێرینە	male	masculine																		
کەنار	coast	margin																		
تەنیشت	adjacent	margin																		
سەرپۆش	cap	mantle																		
چێکەر	creator	maker																		
سازێنەر	creator	maker																		
دانەر	author	maker																		
بانگەشەکردن	allegation	maintain																		
بریندارکردن	injure	maim																		
خاتوون	lady	madam																		
بەخت	fortune	luck																		
نزم	down	low																		
دڵدار	feller	lover																		
خۆشەویستی	affection	love																		
تیروپشک	lot	lottery																		
خەسار	damages	loss																		
موفلیسی	bankruptcy	liquidation																		
دێڕ	convent	line																		
پەل	branch	limbs																		
لێکچوون	approximation	like																		
گڵۆپ	lamp	light																		
ڕووناک	bright	light																		
ژیان	be	life																		
جێگرتن	capacity	lie																		
ئاست	course	level																		
رێدان	allow	let																		
لەشکر	army	legion																		
کردن	do	lay																		
زیاد	addition	lavish																		
دوایین	last	later																		
خایاندن	abide	last																		
چرا	lamp	lantern																		
لێزان	critic	knowing																		
ناسین	acknowledge	know																		
هاوپەیڤین	chat	interview																		
ناوبەر	distance	interval																		
حەز	fond	interest																		
خێر	alms	interest																		
سیخوڕی	espionage	intelligence																		
سەربەست	free	integrity																		
دابینی	guarantee	insurance																		
مسۆگەری	guarantee	insurance																		
دامەزران	found	install																		
نەبوونی	insolvency	insolvent																		
خانە	field	inn																		
مەیخانە	bar	inn																		
زامدار	hurt	injured																		
ناشی	inept	initiate																		
داڕشتن	composition	initiate																		
کەلەپوور	beliefs	inheritance																		
هەڵمژین	absorb	inhale																		
پێکهاتە	component	ingredient																		
ساوا	baby	infant																		
سستی	frigidity	inertia																		
ئاژار	crops	income																		
خستنەناو	enclose	include																		
پاڵەکی	implicit	incident																		
دەستنیشانکردن	appoint	inauguration																		
ناوازە	bizarre	impressive																		
بایەخ	heed	importance																		
هاوردن	bring	import																		
ڕادەگەیەنێ	confess	impart																		
ڕوونکردنەوە	clarification	illustrate																		
رێباز	approach	ideology																		
لەز	acceleration	hurry																		
مرۆڤ	human	human being																		
گیرسانەوە	housing	housings																		
بنەماڵە	household	households																		
دوژمن	antagonist	hostile																		
قولاپ	grapple	hook																		
نامووس	honor	honour																		
نیشتمان	country	homeland																		
ئاستەنگ	blockage	hindrance																		
قارەمان	champion	hero																		
ئاسەوار	aftermath	heritage																		
ئاوڕ	attention	heed																		
سەردێڕ	caption	headline																		
دەسپێک	entry	header																		
هەیەتی	has	have																		
خەرمان	crops	harvest																		
دروێنە	crop	harvest																		
هاودەنگی	consonance	harmony																		
سازگاری	consistency	harmony																		
چارەکردن	cure	handle																		
دەست	arm	hand																		
گوناه	crime	guilt																		
پاسه‌وان	guard	guardsman																		
شکات	complaint	grievance																		
ڕێگەدان	admissions	grant																		
داپیره‌	grandma	grandmother																		
دایه‌گه‌وره‌	grandma	grandmother																		
ڕاستکەرەوە	corrective	grader																		
میهرەبان	compassionate	gracious																		
حکوومەت	authority	government																		
خوا	allah	god																		
بریقە	flash	gloss																		
چاویلکە	glass	glasses																		
کیژ	gal	girl																		
ڕەگەز	compose	genus																		
پەیدابوون	creation	genesis																		
تووڕەیی	anger	fury																		
دوورتر	farther	further																		
بەرهەڤکردن	equip	furnish																		
پەرداخکردن	equip	furnish																		
تەیارکردن	equip	furnish																		
گیڤکردن	equip	furnish																		
پرسە	condolence	funeral																		
فرمان	duty	function																		
شەنگ	elegant	fun																		
سوان	damp	friction																		
دۆزراوە	discovered	found																		
سەرمایە	capital	fortune																		
داڕشت	form	format																		
فڕین	aviation	fly																		
تەوژم	current	flow																		
تەخت	even	flat																		
باڵەخانه	building	flat																		
کۆمپانیا	company	firm																		
بژاره	choice	fine																		
شادی	felicity	festivity																		
شووره	balustrade	fence																		
زۆنگ	bog	fen																		
هاوڕێیه‌تی	familiarity	fellowship																		
تێچوون	expenses	fee																		
دیامان	feature	features																		
ڕیخت	feature	features																		
ڕەنگوڕوو	feature	features																		
سەروسیما	feature	features																		
سەكوت	feature	features																		
نموود	feature	features																		
جوامێر	cute	feat																		
چەوری	fat	fatty																		
قەدەر	destiny	fate																		
رۆن	cream	fat																		
سمت	buttock	fanny																		
لایەنگر	advocate	fan																		
ساخته‌کردن	fake	falsification																		
تاڤگە	fall	falls																		
داتا	data	facts																		
درێژکردنەوە	extend	extension																		
نوێن	bed	exponent																		
گەشەپێدان	develop	expanding																		
ژین	exist	existence																		
ورووژان	alter	excitation																		
کتومت	direct	exact																		
سەرەنجام	consequence	eventually																		
تەخمین	estimate	estimation																		
مەزەندەکردن	calculate	estimation																		
بنیاتنان	build	establish																		
یەکسانبوون	draw	equalize																		
هاوتا	counterpart	equalize																		
دەرک	cognition	entry																		
قاڵبوون	entertain	entertains																		
وادارکردن	compel	enforce																		
نەیار	antagonist	enemy																		
چالاککردن	activating	enable																		
لەخۆگرتن	contain	embrace																		
قەڵاچۆکردن	annihilate	eliminate																		
کەشخە	elegance	elegant																		
کارەبا	electric	electricity																		
دەنگدان	ballot	elections																		
دەستکەوتن	acquisition	earn																		
لەبەرگرتنەوە	copy	duplicate																		
دەبڵ	double	dual																		
تەڕکردن	drench	drown																		
خووساندن	drench	drown																		
جیا	different	distinct																		
داڕزان	disintegrate	dissolution																		
تاووتوێکردن	debate	discuss																		
شێواوکردن	disarray	disarraying																		
پەڵە	blotch	dirt																		
خراپکردن	corrupt	devastation																		
بەندکراو	captive	detainee																		
وردەکاری	adjustment	detail																		
شیرینی	confection	dessert																		
دەربارە	about	description																		
نیشاندان	come across	demonstrate																		
دواکەوتن	abide	delay																		
بەزاندن	crush	defeat																		
سەرسامکردن	astound	daze																		
کازیوە	dawn	daybreak																		
ژوان	credit	date																		
ڕاهاتوو	accustomed	customary																		
خاوە	blackmail	custom																		
پیاڵە	can	cup																		
هێدی	calm	croon																		
بزێو	animation	crisp																		
جۆگە	brook	creek																		
درووستکردن	build	create																		
کەرە	butter	cream																		
داپۆشین	case	cover																		
جەستە	body	corpse																		
لێنان	bake	cook																		
گرێبەست	agreement	convention																		
بورج	asterism	constellation																		
نەگۆڕان	abide	constancy																		
زاڵبوون	conquer	conquering																		
شاردنەوە	conceal	concealment																		
فەرماندە	chief	commander																		
کۆڕ	chorus	colony																		
پێکەوەلکان	coherence	cohesion																		
پاڵتۆ	cloak	coat																		
پاس	bus	coach																		
دەسته	aggregate	cluster																		
ساماڵ	clear	cloudless																		
جلک	cloth	clothes																		
دەلالی	beauty	charm																		
بارگە	baggage	charge																		
بێگومانی	assuredness	certainty																		
سەنتەر	center	centre																		
چەقی	central	centralized																		
پیل	battery	cell																		
هاوپۆلەکان	categories	category																		
بەستێن	bed	category																		
کاش	angle	cash																		
قتوو	can	case																		
قۆپچە	buttock	button																		
هۆڤ	brutal	brute																		
ئاژەڵ	animal	brute																		
فڵچەلێدان	brush	brushing																		
سینگ	bosom	breast																		
بڕبڕە	backbone	bone																		
خشت	adobe	block																		
زیندوو	alive	biotic																		
پاڕانەوە	appeal	beg																		
گیانەوەر	animal	beast																		
رێگرتن	ban	bar																		
هاوسەنگ	balance	balanced																		
ترومبێل	auto	automobile																		
دەسەڵاتدار	authoritative	authority																		
سەرنجڕاکێشان	amuse	attract																		
کۆبوونەوه	aggregate	assembly																		
نادیاری	absence	ambiguity																		
ڕێکەوتننامە	accord	agreement																		
بریکار	administrator	agent																		
زێده	addendum	addition																		
کردەوە	act	action																		
دەستپێگەیشتن	access	accessibility																		
ویزە	zip																			
بەرهەمدانەوە	yield																			
بەرەچە	yield																			
سەرقۆڵ	wrist																			
مەچەک	wrist																			
چرچ	wrinkle																			
تێپێچ	wrapper																			
خەفەت	worry																			
پەیڤ	word																			
خەم	woe																			
جادووگەر	wizard																			
دەخوازێت	wish																			
تێگەیشتوویی	wisdom																			
تەل	wire																			
سیم	wire																			
سوڕان	wind																			
دەباتەوە	win																			
خوایشت	will																			
چرپاندن	whisper																			
سرپە	whisper																			
دەخولێتەوە	whirl																			
دەسوڕێتەوە	whirl																			
پێچکە	wheel																			
تەگەر	wheel																			
دارتڵیش	wedge																			
بەتڵاندن	waste																			
پیاسە	wander																			
سوڕانەوە	wander																			
ڕێکردن	walk																			
دەجولێنێت	wake																			
لووراندن	wail																			
ناڵین	wail																			
فارغۆن	waggon																			
گرێو	wager																			
دەهەژێنێ	wage																			
تۆپەڵ	wad																			
ناوئاخن:کۆنە	wad																			
کسم	vocation																			
سۆما	vision																			
سۆمایی	vision																			
هەتەر	vision																			
وینایی	vision																			
تابشت	vigor																			
دەوروبەری	vicinity																			
خراپە	vice																			
پاسادان	verify																			
ڕەگە	vein																			
گوڵدەمار	vein																			
گیایی	vegetative																			
ئاوباره	vault																			
شیوو	vale																			
کاربەری	utility																			
وەرگەڕاندن	upset																			
بەرزبوونەوه	uplift																			
دنیا	universe																			
دونیا	universe																			
کردنەیەک	unify																			
حاڵیبوون	understand																			
بادانەوە	turn																			
نۆرە	turn																			
تیۆب	tube																			
کۆتەره	trunk																			
نیوجەستە	trunk																			
رەنج	trouble																			
شیواندن	trouble																			
تەسە	trip																			
رەت	trip																			
سەرسم	trip																			
بەرەباب	tribe																			
قەبیلە	tribe																			
تیمار	treatment																			
سەوا	treatment																			
هاوڵ	treatment																			
کامباخی	treason																			
بزووتن	travel																			
رۆیشتن	travel																			
پەڕاندنەوە	transmit																			
ڕاگوێزکردن	transmit																			
شەمەندەفەر	train																			
سەودا	trade																			
مامڵە	trade																			
ئاڵووێر	trade																			
پەی	trace																			
باژێڕ	town																			
تلانن	touch																			
ئەشکەنجە	torment																			
سەرتۆپ	top																			
هامراز	tool																			
ئاڵات	tool																			
ئەسپاو	tool																			
چەوسان	toil																			
دەسڕ	tissue																			
راچه	timber																			
ڕاپۆڕاندن	thrust																			
هاویشتن	throw																			
راخوڕین	threaten																			
گەفاندن	threaten																			
هەدیداندن	threaten																			
تیاڕامان	think																			
راوێچکە	think																			
تێم	theme																			
بەچاکەزانین	thank																			
بەرباد	terrible																			
تێراس	terrace																			
واژە	term																			
چادر	tent																			
خولیاندن	tempt																			
گینەڵەدان	tempt																			
میزاژ	temperament																			
گێوڵ	temper																			
ووتن	tell																			
تەکنیکزانی	technology																			
تیم	team																			
تاکسی	taxi																			
خاوه	tax																			
چەشتن	taste																			
نیشان	target																			
تەنکی	tank																			
خەت	tail																			
پینە	tag																			
تاگ	tag																			
تەبڵە	table																			
بەسۆزی	sympathy																			
سیمبۆڵ	symbol																			
دادەپڵۆسێت	switch																			
لێدەدات	switch																			
هەڵمسان	swell																			
ئاوسان	swell																			
خافڵگیرکردن	surprise																			
سەرڕوو	surface																			
واتێگەشتن	suppose																			
پشتگری	support																			
پشتیوانی	support																			
ژیاندن	supply																			
دەستەبەرکەر	supplier																			
خۆر	sun																			
رۆژ	sun																			
پێشنیاز	suggest																			
کوێرەوەری	suffer																			
ئازارچەشتن	suffer																			
خەراپکاری	subversion																			
تەپین	subside																			
دامرکانەوە	subside																			
مرانەوە	subside																			
نیشتنەوە	subside																			
کریار:سەردێڕ	subject																			
ژێرکەلتوور	subculture																			
خۆکێشانەوە	stretch																			
سترێس	stress																			
فرۆشگا	store																			
کوچک	stone																			
خەزنکراو	stock																			
چزووتێڕۆکردن	sting																			
چووزانەوە	sting																			
کزانەوە	sting																			
گەز	sting																			
پێوەنووسان	stick																			
شەقاو	step																			
قەد	stem																			
ڕاگیربوون	stay																			
گیربوون	stay																			
دیتانە	statement																			
ڕێکەوەند	statement																			
وتە	statement																			
بەپێوە	standing																			
پایەدار	standing																			
ڕاوەستاو	standing																			
سێپا	stand																			
ستاف	staff																			
تێژەنین	stab																			
چەقۆلێدان	stab																			
جنین	squash																			
چوارگۆشە	square																			
بێهوودەخەرجکردن	squander																			
هەرژاندن	squander																			
هەڕش	squander																			
